INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
Wilberforce University,639,OH,39.707291,-83.880595,0.4512,0.4106,0.7,38298,6987798
Wilmington College,1011,OH,39.444744,-83.818342,0.8813,0.5097,0.6726,48491,31434730
Wittenberg University,1235,OH,39.934029,-83.815445,0.9393,0.5732,0.7514,54947,125602173
The College of Wooster,1960,OH,40.81046,-81.934674,0.5627,0.7403,0.8345,59629,431210227
Wright State University-Main Campus,6327,OH,39.780634,-84.064881,0.9522,0.4378,0.6433,49500,148512603
Xavier University,4837,OH,39.149547,-84.47465,0.8454,0.7376,0.837,64873,259332000
Youngstown State University,7741,OH,41.104928,-80.64659,0.806,0.4897,0.784,41544,338619933
Oklahoma Wesleyan University,722,OK,36.717453,-95.95671,0.5213,0.3394,0.5443,59841,10115370
University of Central Oklahoma,10400,OK,35.6552,-97.471508,0.6994,0.3528,0.6429,48351,50446332
East Central University,2584,OK,34.771934,-96.663849,0.7008,0.314,0.6014,44962,40735816
Randall University,242,OK,35.300757,-97.491107,0.4286,0.1525,0.5143,42051,558446
Northeastern State University,4885,OK,35.919939,-94.967229,0.9946,0.38,0.6384,45379,23723511
Northwestern Oklahoma State University,1430,OK,36.796658,-98.667673,0.5642,0.2685,0.5985,44358,34857978
Oklahoma Christian University,1856,OK,35.611412,-97.469526,0.9602,0.5692,0.768,49203,47004685
Oklahoma State University-Main Campus,20362,OK,36.123085,-97.069743,0.7063,0.649,0.833,57413,528389587
Oklahoma Baptist University,1246,OK,35.360492,-96.932459,0.4734,0.5405,0.7119,48434,158380686
Oklahoma City University,1344,OK,35.495271,-97.541242,0.7039,0.693,0.7727,54655,153330878
University of Oklahoma-Norman Campus,20842,OK,35.209407,-97.444211,0.7292,0.7606,0.8795,63126,1776652000
Oral Roberts University,3250,OK,36.049129,-95.952547,0.7837,0.6288,0.8065,46885,46647334
University of Science and Arts of Oklahoma,808,OK,35.031392,-97.95641,0.563,0.4039,0.6008,41913,21740765
Southeastern Oklahoma State University,2853,OK,34.006808,-96.376864,0.7421,0.3353,0.5913,45079,31961696
Southwestern Oklahoma State University,3596,OK,35.535281,-98.707768,0.7678,0.3913,0.6826,45744,35249190
University of Tulsa,2612,OK,36.152324,-95.945941,0.6918,0.7219,0.8494,61408,1375160000
Eastern Oregon University,2262,OR,45.319795,-118.092495,0.9852,0.3815,0.6762,50112,16083358
New Hope Christian College-Eugene,37,OR,44.032674,-123.15355,0.3412,0.25,0.7143,31115,895128
George Fox University,2495,OR,45.303629,-122.967494,0.9173,0.7147,0.7944,59761,32195520
Lewis & Clark College,2187,OR,45.450882,-122.669137,0.6859,0.7347,0.8612,62205,302258210
Linfield University,1667,OR,45.201173,-123.199642,0.8869,0.7066,0.8089,78638,129095379
Mount Angel Seminary,28,OR,45.057871,-122.775405,1,0.4,1,57436,22545289
Multnomah University,375,OR,45.527139,-122.575557,0.5338,0.3857,0.5333,47939,8740000
Bushnell University,502,OR,44.047483,-123.079754,0.6685,0.5185,0.7765,53623,19030316
Oregon Institute of Technology,3088,OR,42.257152,-121.785177,0.9258,0.5723,0.7221,72273,35438374
Oregon State University,28407,OR,44.56395,-123.274723,0.8253,0.7004,0.8683,64010,900325765
University of Oregon,19443,OR,44.045146,-123.075792,0.8629,0.7341,0.8559,61324,1196935191
Pacific Northwest College of Art,376,OR,45.526766,-122.678182,0.9448,0.4051,0.7,34883,71000800
Pacific University,1546,OR,45.521394,-123.108777,0.9228,0.6613,0.7686,60583,61635965
Portland State University,14299,OR,45.511601,-122.686289,0.9309,0.5254,0.7176,57906,105614058
University of Portland,3368,OR,45.572724,-122.726691,0.9251,0.7898,0.8556,82804,322406000
Reed College,1494,OR,45.480959,-122.630348,0.308,0.796,0.8583,62927,747245126
Southern Oregon University,2898,OR,42.185077,-122.695081,0.8796,0.4637,0.7106,49175,38025285
Warner Pacific University,440,OR,45.506265,-122.592498,0.7225,0.427,0.8438,55204,12212988
Corban University,795,OR,44.882399,-122.961129,0.3477,0.5401,0.7013,48917,518356
Willamette University,1335,OR,44.935457,-123.030537,0.806,0.7606,0.8263,56911,284003200
Western Oregon University,3292,OR,44.852235,-123.238309,0.8335,0.4764,0.6956,51815,21367139
Bryn Athyn College of the New Church,271,PA,40.134393,-75.060808,0.7997,0.5,0.7761,40457,69831126
Albright College,1276,PA,40.361351,-75.909742,0.8487,0.4832,0.6401,58700,67451308
Allegheny College,1324,PA,41.64869,-80.147168,0.6965,0.6776,0.7892,62069,289066735
DeSales University,2175,PA,40.539091,-75.375608,0.7717,0.6768,0.7765,61295,98467072
Alvernia University,2000,PA,40.310028,-75.936754,0.59,0.6319,0.6808,55055,18806625
Clarks Summit University,376,PA,41.495062,-75.685472,0.652,0.6437,0.6613,38818,2852004
Arcadia University,1750,PA,40.092606,-75.163876,0.7757,0.6355,0.7969,58336,97190000
Bryn Mawr College,1402,PA,40.02736,-75.313223,0.3075,0.8256,0.9028,75217,1182530000
Bucknell University,3732,PA,40.954317,-76.882616,0.3255,0.8653,0.9058,93807,1105616000
Cabrini University,1145,PA,40.056355,-75.375263,0.7852,0.5052,0.7483,59038,48018993
Carlow University,1243,PA,40.439293,-79.963448,0.927,0.5602,0.7624,51051,42966807
Carnegie Mellon University,7005,PA,40.44357,-79.941993,0.113,0.915,0.973,114862,3092064292
Cedar Crest College,933,PA,40.586318,-75.519221,0.8425,0.6243,0.7262,59460,42076762
Chatham University,1207,PA,40.448432,-79.926083,0.6633,0.6804,0.8,52410,106060787
Chestnut Hill College,939,PA,40.08678,-75.228742,0.9819,0.6213,0.6739,52015,12771831
Delaware Valley University,1631,PA,40.298659,-75.158452,0.9543,0.5412,0.7587,55838,39571307
Dickinson College,2083,PA,40.202796,-77.197854,0.3492,0.8369,0.8877,70204,600038947
Drexel University,13933,PA,39.955217,-75.190051,0.7961,0.782,0.8699,84648,965854000
Duquesne University,5087,PA,40.43589,-79.993123,0.8749,0.7771,0.838,74742,627291000
East Stroudsburg University of Pennsylvania,4324,PA,40.99599,-75.173905,0.9363,0.4573,0.7355,56148,25006439
Eastern University,1692,PA,40.050448,-75.370316,0.6323,0.59,0.7439,51655,34412224
Elizabethtown College,1703,PA,40.149236,-76.593224,0.8112,0.7624,0.8499,62399,109803173
