CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
2,Society,February 2020,26
4,Society,February 2020,48
4,Society,August 2020,31
4,Society,November 2020,23
NA,Society,November 2020,4
NA,Property,November 2020,76
NA,Property,July 2020,50
NA,Property,October 2020,93
2,Not a Crime,December 2020,1
NA,Society,May 2020,20
NA,Society,March 2020,14
NA,Society,December 2020,6
NA,Society,August 2020,1
NA,Society,June 2020,1
NA,Society,July 2020,3
NA,Society,September 2020,5
2,Person,January 2021,171
2,Property,January 2021,1049
4,Person,January 2021,152
1,Person,January 2021,216
1,Property,January 2021,905
3,Person,January 2021,124
3,Society,January 2021,25
3,Property,January 2021,885
NA,Person,January 2021,21
4,Property,January 2021,985
1,Society,January 2021,51
2,Society,January 2021,16
NA,Property,January 2021,57
1,Person,February 2021,218
2,Person,February 2021,146
3,Person,February 2021,111
2,Property,February 2021,857
1,Society,February 2021,38
1,Property,February 2021,836
4,Person,February 2021,148
3,Property,February 2021,731
3,Society,February 2021,17
4,Society,February 2021,15
4,Property,February 2021,877
NA,Person,February 2021,15
2,Society,February 2021,7
NA,Property,February 2021,80
2,Person,March 2021,183
4,Person,March 2021,155
3,Person,March 2021,146
1,Person,March 2021,228
4,Property,March 2021,989
1,Society,March 2021,56
3,Property,March 2021,939
3,Society,March 2021,19
2,Property,March 2021,1125
1,Property,March 2021,1010
NA,Person,March 2021,12
NA,Property,March 2021,93
2,Society,March 2021,13
4,Society,March 2021,31
1,Person,April 2021,226
3,Person,April 2021,135
2,Person,April 2021,164
2,Property,April 2021,964
