date,Midwest,National,Northeast,South,West,date_period
2024-08-03,6.906823947484767,8.012740457495845,5.378725677485883,10.31307102332109,12.114815710662716,All Results
2024-08-10,6.389780804484638,8.203226216700552,5.946764194360778,10.342608424969796,11.473611073171124,All Results
2024-08-17,7.041928389647383,7.92774043143206,6.557914637308539,9.439358973065788,10.894706418392476,All Results
2024-08-24,8.20995778922021,8.184319234507022,6.022867606241582,9.756640484434444,9.102866462562634,All Results
2024-08-31,8.20986800572053,7.701016885698319,5.643999858716247,8.946535936906255,9.249826379449075,All Results
2024-09-07,7.644045082582914,7.35731126648451,4.483083116653535,7.748469862379843,10.400025810848556,All Results
2024-09-14,7.467082949982454,6.705163034504594,4.169344844855342,6.7054374794330105,7.747938238572406,All Results
2024-09-21,5.54153347942416,5.272986232474707,3.822704447531166,5.279580408562615,5.605658973687121,All Results
2024-09-28,4.208076645793428,3.885783349028066,2.5800273561795555,3.913384845234591,4.880093834150484,All Results
2024-10-05,2.663677211001668,2.7630663942774483,1.226143868293191,2.9194147443085123,3.669650019443183,All Results
2024-10-12,2.2977982198097515,2.269131061764435,2.590271038167169,2.0113106942398056,2.4796390363244942,All Results
